Player,Season,Tm,SeasonPlayerBorn,MP,EstAdjTOV,TOV.,TOV100,ATRatio,PPR
Austin Carr,1974,CLE,1974 Austin Carr 1949,3100,251.5499935,12.11127614,3.741563537,1.212482639,-1.555376135
Fred Carter,1974,PHI,1974 Fred Carter 1946,3044,303.4266745,14.43550772,4.417961124,1.459990295,-0.265878487
Bill Chamberlain,1974,PHO,1974 Bill Chamberlain 1950,367,39.89741257,20.50886359,4.761122445,0.927378434,-4.150067004
Don Chaney,1974,BOS,1974 Don Chaney 1947,2258,167.1367515,16.7751266,3.229955741,1.05302992,-2.205642964
Ken Charles,1974,BUF,1974 Ken Charles 1952,693,47.84198348,17.8780377,2.969292525,1.128715744,-1.708799926
Phil Chenier,1974,CAP,1974 Phil Chenier 1951,2942,236.7855192,11.89431381,3.634297235,1.009352264,-2.632637181
Bob Christian,1974,PHO,1974 Bob Christian 1947,1244,97.03536071,21.49294716,3.416176709,1.009941111,-2.548394483
Archie Clark,1974,CAP,1974 Archie Clark 1942,1786,129.5995459,15.03057317,3.276649577,2.19908178,3.381884329
Jim Cleamons,1974,CLE,1974 Jim Cleamons 1950,1642,122.9471569,16.92398007,3.452517156,1.84632167,1.728756179
Barry Clemens,1974,CLE,1974 Barry Clemens 1944,913,75.10894544,16.57196571,3.793249373,1.065119468,-2.385061567
E.C. Coleman,1974,HOU,1974 E.C. Coleman 1951,1075,70.18134289,19.89597883,2.9535142,1.082908888,-1.815318719
Doug Collins,1974,PHI,1974 Doug Collins 1952,436,44.67656721,16.52505344,4.541570786,0.895323936,-4.130711135
Mel Counts,1974,LAL,1974 Mel Counts 1942,499,47.89966446,20.87862197,4.124962358,1.12735654,-2.384702296
Dave Cowens,1974,BOS,1974 Dave Cowens 1949,3352,279.736402,14.91691669,3.641610787,1.265477062,-1.304785261
Dick Cunningham,1974,MIL,1974 Dick Cunningham 1947,45,2.796484003,23.54639641,2.830091338,0,-6.214408895
Mike D'Antoni,1974,KCO,1974 Mike D'Antoni 1952,989,72.68039175,20.22493113,3.324656808,1.692340906,0.942326416
Bob Dandridge,1974,MIL,1974 Bob Dandridge 1948,2521,219.6631171,14.92455952,3.968121149,0.915037548,-3.397981638
Charlie Davis,1974,POR,1974 Charlie Davis 1950,90,6.40055699,13.29003938,3.146203129,1.718600431,1.036418159
Dwight Davis,1974,CLE,1974 Dwight Davis 1950,2477,197.1906263,16.71460238,3.670715854,0.943249705,-2.954809296
Jim Davis,1974,DET,1974 Jim Davis 1942,947,100.1321455,22.53745571,4.765573504,0.858865048,-4.519409946
Mel Davis,1974,NYK,1974 Mel Davis 1951,167,20.04115921,16.41625894,5.56553931,0.399178506,-8.807081363
Mickey Davis,1974,MIL,1974 Mickey Davis 1951,1012,78.33531213,16.93314295,3.525150736,1.110610242,-2.009418195
Dave DeBusschere,1974,NYK,1974 Dave DeBusschere 1941,2699,208.0941264,13.73038261,3.575673246,1.215795969,-1.460817328
Derrek Dickey,1974,GSW,1974 Derrek Dickey 1952,930,58.49747691,18.24980888,2.772474394,0.923116737,-2.419083539
Ernie DiGregorio,1974,BUF,1974 Ernie DiGregorio 1951,2910,336.5082263,20.01323762,4.973701752,1.970234152,3.625146862
Steve Downing,1974,BOS,1974 Steve Downing 1951,137,21.46495043,21.00598018,6.836878704,0.512463331,-10.31504898
