"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","dist"
29600104,474,2,1,4,"0:00","MISS Radja 83' 3PT Jump Shot",NA,NA,NA,NA,4,129,"Dino Radja",1610612738,0,0,NA,NA,0,0,NA,NA,83
29600121,213,2,1,2,"0:00","MISS Kidd 71' 3PT Jump Shot",NA,NA,NA,NA,4,467,"Jason Kidd",1610612742,0,0,NA,NA,0,0,NA,NA,71
29600127,112,2,1,1,"0:00",NA,NA,"MISS Allen 55' 3PT Jump Shot",NA,NA,5,951,"Ray Allen",1610612749,0,0,NA,NA,0,0,NA,NA,55
29600127,331,2,1,3,"0:00","MISS Richardson 52' 3PT Jump Shot",NA,NA,NA,NA,4,71,"Pooh Richardson",1610612746,0,0,NA,NA,0,0,NA,NA,52
29600128,234,2,1,2,"0:00","MISS Payton 52' 3PT Jump Shot",NA,NA,NA,NA,4,56,"Gary Payton",1610612760,0,0,NA,NA,0,0,NA,NA,52
29600136,192,2,1,2,"0:00","MISS Coles 56' 3PT Jump Shot",NA,NA,NA,NA,4,902,"Bimbo Coles",1610612744,0,0,NA,NA,0,0,NA,NA,56
29600158,485,2,1,5,"0:00",NA,NA,"MISS Grant 53' 3PT Jump Shot",NA,NA,5,202,"Gary Grant",1610612748,0,0,NA,NA,0,0,NA,NA,53
29600165,331,2,1,3,"0:00","MISS Mitchell 53' 3PT Jump Shot",NA,NA,NA,NA,4,417,"Sam Mitchell",1610612750,0,0,NA,NA,0,0,NA,NA,53
29600179,361,2,1,3,"0:00",NA,NA,"MISS O'Neal 76' 3PT Jump Shot",NA,NA,5,406,"Shaquille O'Neal",1610612747,0,0,NA,NA,0,0,NA,NA,76
29600181,96,2,1,1,"0:00","MISS Norman 47' 3PT Jump Shot",NA,NA,NA,NA,4,80,"Ken Norman",1610612737,0,0,NA,NA,0,0,NA,NA,47
29600190,79,2,1,1,"0:00",NA,NA,"MISS Lynch 52' 3PT Jump Shot",NA,NA,5,248,"George Lynch",1610612763,0,0,NA,NA,0,0,NA,NA,52
29600200,207,2,1,2,"0:00","MISS Stackhouse 50' 3PT Jump Shot",NA,NA,NA,NA,4,711,"Jerry Stackhouse",1610612755,0,0,NA,NA,0,0,NA,NA,50
29600222,230,2,1,2,"0:00","MISS Wilkins 58' 3PT Jump Shot",NA,NA,NA,NA,4,786,"Gerald Wilkins",1610612753,0,0,NA,NA,0,0,NA,NA,58
29600227,130,2,1,1,"0:00","MISS Lang 66' 3PT Jump Shot",NA,NA,NA,NA,4,226,"Antonio Lang",1610612739,0,0,NA,NA,0,0,NA,NA,66
29600236,90,2,1,1,"0:01","MISS Grant 57' 3PT Jump Shot",NA,NA,NA,NA,4,202,"Gary Grant",1610612748,0,0,NA,NA,0,0,NA,NA,57
29600236,307,2,1,3,"0:00","MISS Grant 65' 3PT Jump Shot",NA,NA,NA,NA,4,202,"Gary Grant",1610612748,0,0,NA,NA,0,0,NA,NA,65
29600243,452,2,1,4,"0:00",NA,NA,"MISS Murray 62' 3PT Jump Shot",NA,NA,5,145,"Tracy Murray",1610612764,0,0,NA,NA,0,0,NA,NA,62
29600254,117,1,1,1,"0:00",NA,NA,"Rose 57' 3PT Jump Shot (5 PTS)","23 - 22","-1",5,147,"Jalen Rose",1610612754,0,0,NA,NA,0,0,NA,NA,57
29600266,109,2,2,1,"0:00","MISS Jones 77' 3PT Running Jump Shot",NA,NA,NA,NA,4,461,"Popeye Jones",1610612761,0,0,NA,NA,0,0,NA,NA,77
29600282,336,2,1,3,"0:00","MISS Horry 52' 3PT Jump Shot",NA,NA,NA,NA,4,109,"Robert Horry",1610612756,0,0,NA,NA,0,0,NA,NA,52
29600288,468,2,1,4,"0:00","MISS Iverson 82' 3PT Jump Shot",NA,NA,NA,NA,4,947,"Allen Iverson",1610612755,0,0,NA,NA,0,0,NA,NA,82
29600292,118,2,1,1,"0:00","MISS Fisher 56' 3PT Jump Shot",NA,NA,NA,NA,4,965,"Derek Fisher",1610612747,0,0,NA,NA,0,0,NA,NA,56
29600295,93,2,1,1,"0:00","MISS Drexler 53' 3PT Jump Shot",NA,NA,NA,NA,4,17,"Clyde Drexler",1610612745,0,0,NA,NA,0,0,NA,NA,53
29600305,115,2,1,1,"0:00",NA,NA,"MISS Johnson 70' 3PT Jump Shot",NA,NA,5,134,"Kevin Johnson",1610612756,0,0,NA,NA,0,0,NA,NA,70
29600313,277,2,1,3,"0:00","MISS Porter 57' 3PT Jump Shot",NA,NA,NA,NA,4,345,"Terry Porter",1610612750,0,0,NA,NA,0,0,NA,NA,57
29600327,104,2,1,1,"0:00","MISS Reeves 50' 3PT Jump Shot",NA,NA,NA,NA,4,234,"Khalid Reeves",1610612751,0,0,NA,NA,0,0,NA,NA,50
29600328,108,2,1,1,"0:00","MISS Iverson 70' 3PT Jump Shot",NA,NA,NA,NA,4,947,"Allen Iverson",1610612755,0,0,NA,NA,0,0,NA,NA,70
29600329,104,2,1,1,"0:00","MISS Danilovic 55' 3PT Jump Shot",NA,NA,NA,NA,4,390,"Sasha Danilovic",1610612748,0,0,NA,NA,0,0,NA,NA,55
29600338,99,2,1,1,"0:00","MISS Jackson 68' 3PT Jump Shot",NA,NA,NA,NA,4,349,"Mark Jackson",1610612743,0,0,NA,NA,0,0,NA,NA,68
29600341,225,2,1,2,"0:00",NA,NA,"MISS Schrempf 52' 3PT Jump Shot",NA,NA,5,96,"Detlef Schrempf",1610612760,0,0,NA,NA,0,0,NA,NA,52
29600344,463,2,1,4,"0:00",NA,NA,"MISS Douglas 55' 3PT Jump Shot",NA,NA,5,428,"Sherman Douglas",1610612749,0,0,NA,NA,0,0,NA,NA,55
29600349,342,2,1,3,"0:00","MISS Iverson 47' 3PT Jump Shot",NA,NA,NA,NA,4,947,"Allen Iverson",1610612755,0,0,NA,NA,0,0,NA,NA,47
29600371,106,2,1,1,"0:00","MISS Lynch 68' 3PT Jump Shot",NA,NA,NA,NA,4,248,"George Lynch",1610612763,0,0,NA,NA,0,0,NA,NA,68
29600375,193,2,1,2,"0:00",NA,NA,"MISS Russell 77' 3PT Jump Shot",NA,NA,5,935,"Bryon Russell",1610612762,0,0,NA,NA,0,0,NA,NA,77
29600387,81,2,1,1,"0:00","MISS Robinson 74' 3PT Jump Shot",NA,NA,NA,NA,4,299,"Glenn Robinson",1610612749,0,0,NA,NA,0,0,NA,NA,74
29600388,104,2,1,1,"0:00","MISS Marbury 52' 3PT Jump Shot",NA,NA,NA,NA,4,950,"Stephon Marbury",1610612750,0,0,NA,NA,0,0,NA,NA,52
29600390,234,2,1,2,"0:00","MISS Ellis 76' 3PT Jump Shot",NA,NA,NA,NA,4,111,"LaPhonso Ellis",1610612743,0,0,NA,NA,0,0,NA,NA,76
29600406,125,2,1,1,"0:00",NA,NA,"MISS Sprewell 47' 3PT Jump Shot",NA,NA,5,84,"Latrell Sprewell",1610612744,0,0,NA,NA,0,0,NA,NA,47
29600427,201,1,1,2,"0:00",NA,NA,"Green 50' 3PT Jump Shot (6 PTS)","48 - 54","6",5,920,"A.C. Green",1610612742,0,0,NA,NA,0,0,NA,NA,50
29600436,319,2,1,3,"0:00","MISS Miller 62' 3PT Jump Shot",NA,NA,NA,NA,4,397,"Reggie Miller",1610612754,0,0,NA,NA,0,0,NA,NA,62
29600438,109,2,1,1,"0:00","MISS Jackson 47' 3PT Jump Shot",NA,NA,NA,NA,4,349,"Mark Jackson",1610612743,0,0,NA,NA,0,0,NA,NA,47
29600444,87,2,2,1,"0:00","MISS Ferry 49' 3PT Running Jump Shot",NA,NA,NA,NA,4,198,"Danny Ferry",1610612739,0,0,NA,NA,0,0,NA,NA,49
29600447,230,2,1,2,"0:01",NA,NA,"MISS Robinson 69' 3PT Jump Shot",NA,NA,5,361,"Clifford Robinson",1610612757,0,0,NA,NA,0,0,NA,NA,69
29600449,211,2,1,2,"0:00",NA,NA,"MISS Hardaway 57' 3PT Jump Shot",NA,NA,5,896,"Tim Hardaway",1610612748,0,0,NA,NA,0,0,NA,NA,57
29600451,93,2,1,1,"0:00","MISS Wallace 55' 3PT Jump Shot",NA,NA,NA,NA,4,961,"John Wallace",1610612752,0,0,NA,NA,0,0,NA,NA,55
29600451,196,2,1,2,"0:00",NA,NA,"MISS Baker 57' 3PT Jump Shot",NA,NA,5,452,"Vin Baker",1610612749,0,0,NA,NA,0,0,NA,NA,57
29600458,122,2,1,1,"0:00",NA,NA,"MISS Jackson 57' 3PT Jump Shot",NA,NA,5,754,"Jim Jackson",1610612742,0,0,NA,NA,0,0,NA,NA,57
29600458,259,2,1,2,"0:00","MISS Ward 68' 3PT Jump Shot",NA,NA,NA,NA,4,369,"Charlie Ward",1610612752,0,0,NA,NA,0,0,NA,NA,68
29600460,91,2,1,1,"0:00","MISS Strong 81' 3PT Jump Shot",NA,NA,NA,NA,4,400,"Derek Strong",1610612753,0,0,NA,NA,0,0,NA,NA,81
